instrumentName,lastTradeDate,expiryDate,strike,optionType,spotPrice,bid,ask,mid,volume,openInterest,DerebitIV
BTC-25AUG23-44000-C,2023-5-25,2023-8-25,44000.0,call,26342.82,0.0025,0.0035,0.003,8.4,40.3,55.405
BTC-25AUG23-44000-P,2023-5-25,2023-8-25,44000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-45000-C,2023-5-25,2023-8-25,45000.0,call,26342.82,0.0025,0.003,0.00275,2.1,39.7,56.64
BTC-25AUG23-45000-P,2023-5-25,2023-8-25,45000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-46000-C,2023-5-28,2023-8-25,46000.0,call,26342.82,0.002,0.003,0.0025,8.0,26.9,57.585
BTC-25AUG23-46000-P,2023-5-28,2023-8-25,46000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-50000-C,2023-5-25,2023-8-25,50000.0,call,26342.82,0.0015,0.002,0.00175,7.0,40.4,61.45
BTC-25AUG23-50000-P,2023-5-25,2023-8-25,50000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-55000-C,2023-5-25,2023-8-25,55000.0,call,26342.82,0.001,0.002,0.0015,2.7,126.6,67.305
BTC-25AUG23-55000-P,2023-5-25,2023-8-25,55000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-60000-C,2023-5-28,2023-8-25,60000.0,call,26342.82,0.0005,0.0015,0.001,0.0,232.6,69.945
BTC-25AUG23-60000-P,2023-5-28,2023-8-25,60000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-29SEP23-5000-C,2022-9-29,2023-9-29,5000.0,call,26342.82,0.8095,0.815,0.8122499999999999,0.0,0.2,77.71
BTC-29SEP23-5000-P,2022-9-29,2023-9-29,5000.0,put,26342.82,0.0,0.0005,0.00025,0.0,237.7,59.13
BTC-29SEP23-8000-C,2022-11-18,2023-9-29,8000.0,call,26342.82,0.697,0.704,0.7004999999999999,0.0,0.0,61.35
BTC-29SEP23-8000-P,2022-11-18,2023-9-29,8000.0,put,26342.82,0.0005,0.0015,0.001,0.0,190.3,92.035
BTC-29SEP23-10000-C,2022-9-29,2023-9-29,10000.0,call,26342.82,0.622,0.6305,0.62625,0.0,7.9,53.715
BTC-29SEP23-10000-P,2022-9-29,2023-9-29,10000.0,put,26342.82,0.0005,0.002,0.00125,0.0,500.7,77.465
BTC-29SEP23-11000-C,2022-11-9,2023-9-29,11000.0,call,26342.82,0.5845,0.5935,0.589,0.0,0.8,49.9
BTC-29SEP23-11000-P,2022-11-9,2023-9-29,11000.0,put,26342.82,0.001,0.002,0.0015,0.0,228.6,73.265
BTC-29SEP23-12000-C,2022-11-9,2023-9-29,12000.0,call,26342.82,0.547,0.557,0.552,0.0,1.1,46.885
BTC-29SEP23-12000-P,2022-11-9,2023-9-29,12000.0,put,26342.82,0.002,0.0025,0.0022500000000000003,0.0,228.0,71.13499999999999
BTC-29SEP23-13000-C,2022-9-29,2023-9-29,13000.0,call,26342.82,0.5075,0.52,0.5137499999999999,0.0,13.8,43.455
BTC-29SEP23-13000-P,2022-9-29,2023-9-29,13000.0,put,26342.82,0.002,0.003,0.0025,0.0,328.9,65.61500000000001
BTC-29SEP23-14000-C,2022-9-29,2023-9-29,14000.0,call,26342.82,0.463,0.492,0.47750000000000004,0.0,376.8,47.02
BTC-29SEP23-14000-P,2022-9-29,2023-9-29,14000.0,put,26342.82,0.003,0.004,0.0035,0.0,313.3,63.105000000000004
BTC-29SEP23-15000-C,2022-9-29,2023-9-29,15000.0,call,26342.82,0.435,0.447,0.441,0.1,120.9,60.845
BTC-29SEP23-15000-P,2022-9-29,2023-9-29,15000.0,put,26342.82,0.004,0.005,0.0045000000000000005,0.2,1000.7,59.879999999999995
BTC-29SEP23-16000-C,2022-9-29,2023-9-29,16000.0,call,26342.82,0.3985,0.4215,0.41000000000000003,0.0,10.0,65.24
BTC-29SEP23-16000-P,2022-9-29,2023-9-29,16000.0,put,26342.82,0.005,0.006,0.0055,27.9,442.9,56.26
BTC-29SEP23-17000-C,2022-9-29,2023-9-29,17000.0,call,26342.82,0.362,0.3755,0.36875,5.0,193.7,56.25
